tt0119231;movie;The Junior Defenders;The Junior Defenders;0;2007;\N;83;Comedy;4.4;185
tt0119273;movie;Heavy Metal 2000;Heavy Metal 2000;0;2000;\N;88;Action,Adventure,Animation;5.3;8485
tt0119495;movie;Love 101;Love 101;0;2000;\N;86;Comedy,Drama,Romance;5.0;149
tt0119645;movie;Meet the Mosaics;Meet the Mosaics;0;2001;\N;\N;\N;4.2;19
tt0119727;movie;The Policewoman;A Mulher Polícia;0;2003;\N;90;Drama;5.2;101
tt0119768;movie;AKA a Way with Murder;The Negative Pick-Up;0;2003;\N;\N;\N;3.6;9
tt0119806;movie;Nothing Sacred;Nothing Sacred;0;2000;\N;98;Comedy,Romance;6.0;42
tt0119866;movie;Passionnément;Passionnément;0;2000;\N;104;Drama,Romance;5.5;87
tt0119966;movie;Pushing the Envelope;Pushing the Envelope;0;2000;\N;75;Drama,Thriller;6.6;8
tt0119970;movie;My Apocalypse;Quality Time;0;2008;\N;82;Comedy,Drama,Sci-Fi;3.7;122
tt0119980;movie;Random Shooting in L.A.;Random Shooting in L.A.;0;2002;\N;91;Drama;6.5;75
tt0120117;movie;Shikari;Shikari;0;2000;\N;160;Crime,Drama,Thriller;4.7;466
tt0120166;movie;The Sorcerer's Apprentice;The Sorcerer's Apprentice;0;2001;\N;86;Adventure,Family,Fantasy;4.3;590
tt0120202;movie;State and Main;State and Main;0;2000;\N;105;Comedy,Drama;6.7;21262
tt0120263;movie;Songs from the Second Floor;Sånger från andra våningen;0;2000;\N;98;Comedy,Drama;7.5;18913
tt0120454;movie;Vinyl;Vinyl;0;2000;\N;110;Documentary;7.2;455
tt0120467;movie;Vulgar;Vulgar;0;2000;\N;87;Crime,Drama,Thriller;5.2;4104
tt0120485;movie;Way Past Cool;Way Past Cool;0;2000;\N;96;Drama;6.2;63
tt0120605;movie;Berlin Diaries, 1940-45;Berlin Diaries, 1940-45;0;2001;\N;\N;Drama,War
tt0120607;movie;Between the Sheets;Between the Sheets;0;2003;\N;102;Comedy;4.8;77
tt0120624;movie;Camarate;Camarate;0;2001;\N;100;Drama,History;6.6;169
tt0120626;movie;April Captains;Capitães de Abril;0;2000;\N;123;Drama,History,War;7.1;3137
tt0120630;movie;Chicken Run;Chicken Run;0;2000;\N;84;Adventure,Animation,Comedy;7.1;188062
tt0120667;movie;Fantastic Four;Fantastic Four;0;2005;\N;106;Action,Adventure,Fantasy;5.7;325035
tt0120673;movie;Foiled;Foiled;0;2000;\N;78;Action,Drama,Sci-Fi;6.1;35
tt0120679;movie;Frida;Frida;0;2002;\N;123;Biography,Drama,Romance;7.3;88688
tt0120681;movie;From Hell;From Hell;0;2001;\N;122;Horror,Mystery,Thriller;6.8;153270
tt0120698;movie;The Highwayman;The Highwayman;0;2000;\N;94;Comedy,Drama,Thriller;4.4;358
tt0120729;movie;Last Flight of the Raven;Last Flight of the Raven;0;2000;\N;\N;Thriller
tt0120733;movie;Lion of Oz;Lion of Oz;0;2000;\N;74;Animation,Family,Musical;5.5;348
tt0120737;movie;The Lord of the Rings: The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring;0;2001;\N;178;Action,Adventure,Drama;8.8;1793680
tt0120753;movie;The Million Dollar Hotel;The Million Dollar Hotel;0;2000;\N;122;Drama,Mystery,Thriller;5.7;21520
tt0120755;movie;Mission: Impossible II;Mission: Impossible II;0;2000;\N;123;Action,Adventure,Thriller;6.1;333730
tt0120804;movie;Resident Evil;Resident Evil;0;2002;\N;100;Action,Horror,Sci-Fi;6.6;265088
tt0120807;movie;Ricochet River;Ricochet River;0;2001;\N;112;Drama;4.9;316
tt0120824;movie;The Shipping News;The Shipping News;0;2001;\N;111;Drama;6.7;32890
tt0120870;movie;Trance;Trance;0;2002;\N;\N;Action,Comedy,Horror;4.6;55
tt0120892;movie;Winding Stair;Winding Stair;0;\N;\N;\N;Thriller
tt0120903;movie;X-Men;X-Men;0;2000;\N;104;Action,Adventure,Sci-Fi;7.4;602624
tt0120912;movie;Men in Black II;Men in Black II;0;2002;\N;88;Action,Adventure,Comedy;6.1;366422
tt0120913;movie;Titan A.E.;Titan A.E.;0;2000;\N;94;Action,Adventure,Animation;6.6;60876
tt0120917;movie;The Emperor's New Groove;The Emperor's New Groove;0;2000;\N;78;Adventure,Animation,Comedy;7.4;197490
tt0121062;movie;Alexandru Lapusneanu;Alexandru Lapusneanu;0;\N;\N;\N;History
tt0121158;movie;Complica;Complica;0;\N;\N;\N;\N
tt0121164;movie;Corpse Bride;Corpse Bride;0;2005;\N;77;Animation,Drama,Family;7.3;264202
tt0121172;movie;Cuo zai cuo;Cuo zai cuo;0;\N;\N;\N;\N
tt0121173;movie;The Curly-Headed Dude;The Curly-Headed Dude;0;\N;\N;\N;\N
tt0121191;movie;Deadly Confessions;Deadly Confessions;0;\N;\N;\N;\N
tt0121202;movie;Devotion of a Boy;Devotion of a Boy;0;\N;\N;\N;\N
tt0121243;movie;Encouraging Melody;Encouraging Melody;0;\N;\N;\N;\N
tt0121347;movie;Havergill;Havergill;0;\N;\N;\N;\N
tt0121424;movie;Jin tuo xie;Jin tuo xie;0;\N;\N;\N;\N
tt0121569;movie;Moonlight Blade;Moonlight Blade;0;2009;\N;\N;Mystery,Thriller
tt0121605;movie;Névoas de Abril;Névoas de Abril;0;\N;\N;\N;\N
tt0121609;movie;On Parole;On Parole;0;2001;\N;\N;Documentary
tt0121669;movie;Quatro Exercícios Sobre a Ironia;Quatro Exercícios Sobre a Ironia;0;\N;\N;\N;\N
tt0121700;movie;Rooftop Rendevous;Rooftop Rendevous;0;\N;\N;\N;\N
tt0121718;movie;Sawarg;Sawarg;0;\N;\N;\N;\N
tt0121746;movie;Shi lian zhuan jia;Shi lian zhuan jia;0;\N;\N;\N;\N
tt0121765;movie;Star Wars: Episode II - Attack of the Clones;Star Wars: Episode II - Attack of the Clones;0;2002;\N;142;Action,Adventure,Fantasy;6.6;686890
tt0121766;movie;Star Wars: Episode III - Revenge of the Sith;Star Wars: Episode III - Revenge of the Sith;0;2005;\N;140;Action,Adventure,Fantasy;7.6;761467
tt0121816;movie;A Time for Murder;A Time for Murder;0;\N;\N;\N;\N
tt0121862;movie;Weeding Day;Weeding Day;0;\N;\N;\N;Drama,History
tt0121871;movie;White Crane Woman;White Crane Woman;0;\N;\N;\N;\N
tt0121919;movie;Keke's Magic Umbrella;Zhui gui san;0;2000;\N;\N;Family;6.7;8
tt0122161;movie;Lured Innocence;Lured Innocence;0;2000;\N;99;Drama,Thriller;4.8;379
tt0122247;movie;Serial Killing 4 Dummys;Serial Killing 4 Dummys;0;2004;\N;89;Comedy,Horror,Mystery;5.2;770
tt0122459;movie;Return to Me;Return to Me;0;2000;\N;115;Comedy,Drama,Romance;6.9;21009
tt0122936;movie;Angel;Angel;1;2002;\N;\N;Adult
tt0123003;movie;Bruno;Bruno;0;2000;\N;108;Comedy,Drama;6.0;1527
